1,"FOX, Marama"
2,"FLAVELL, Te Ururoa"
3,"PAPA, Stanley Rahui"
4,"TAURIMA, Shane"
5,"REEDY-TAARE, Mei"
6,"TAMATI, Howie"
7,"TE HAU, Hinurewa"
8,"ESERA, Tuilagi Saipele"
9,"KIRIA, John"
10,"McLEOD, Te Waka"
11,"STODDART-SMITH, Carrie"
12,"LUA, Manase"
13,"KANG, Wetex"
14,"HOHAIA, Tasha"
15,"TOFILAU-TEVAGA, Esther"
16,"POROU, Tina Tangi Whaiora"
17,"NGATAI, Rongokino George"
18,"WHITLOCK, Cinnamon"
19,"BHANA, Raewyn Teresa"
20,"CHAPMAN, Ngarangi"
21,"BIDDLE, Wendy"
22,"MARSTERS, Maryanne"
23,"WILLIAMS, Karen"
24,"TE WHIU, Amiria"
25,"PEPA, Mele"
26,"TU'INUKUAFE, Tae Moala"
