Auckland Central,EDWARDS,Frank,nzf,false
Auckland Central,GREENFIELD,Stephen,Conservative,false
Auckland Central,HAKA,Mika,top,false
Auckland Central,JONES,Leslie,Climate First,false
Auckland Central,KAYE,Nikki,national,true
Auckland Central,ROCHE,Denise,green,false
Auckland Central,VAN VELDEN,Brooke,act,false
Auckland Central,WHITE,Helen Ione,labour,false
Bay of Plenty,BENNETT,Raewyn,maori,false
Bay of Plenty,CARLEY,Bruce,act,false
Bay of Plenty,GRAY,Lester,nzf,false
Bay of Plenty,MULLER,Todd,national,true
Bay of Plenty,WARREN-CLARK,Angie,labour,false
Botany,KANG,Wetex,maori,false
Botany,LIGHT,Damian,uf,false
Botany,MAMEDOV,Tofik,labour,false
Botany,ROSS,Jami-Lee,national,true
Botany,SINGH,Sam,act,false
Botany,ZHU,Julie,green,false
Christchurch Central,GASKIN,Ian Camden,uf,false
Christchurch Central,HILL,Doug,top,false
Christchurch Central,RICHARDSON,Peter,green,false
Christchurch Central,ROBINSON,Philip,nzf,false
Christchurch Central,SHUFFLEBOTHAM,Janine,Aotearoa Legalise Cannabis Party,false
Christchurch Central,WAGNER,Nicky,national,true
Christchurch Central,WEBB,Duncan,labour,false
Christchurch East,BROSNAN,Chris,Conservative,false
Christchurch East,HAYES,Jo,national,false
Christchurch East,LAMBERT,Paula,Aotearoa Legalise Cannabis Party,false
Christchurch East,MARK-SHADBOLT,Melanie,nzf,false
Christchurch East,SEVERIN,Toni,act,false
Christchurch East,SWEET,Cathy,green,false
Christchurch East,WILLIAMS,Poto,labour,true
Clutha-Southland,ADAMS,Brian Alan,Ban1080,false
Clutha-Southland,ASHTON,Lachie,Conservative,false
Clutha-Southland,CHAPMAN,Cherie Joy,labour,false
Clutha-Southland,GOLDSMITH,Rachael,green,false
Clutha-Southland,PATTERSON,Mark,nzf,false
Clutha-Southland,STRINGER,Joe,,false
Clutha-Southland,WALKER,Hamish,national,true
Coromandel,ANDREWS,Anne-Marie,nzf,false
Coromandel,BLOMFIELD,Nathaniel James,labour,false
Coromandel,GRAF,Clyde,Ban1080,false
Coromandel,SIMPSON,Scott,national,true
Coromandel,SUMMERFIELD,Scott,green,false
Dunedin North,BOULD,Niki,green,false
Dunedin North,CLARK,David,labour,true
Dunedin North,GRAAMANS,Adrian,,false
Dunedin North,GRAY,Abe,top,false
